! This is a TEST FIT.
! new fit to optics runs 1540, 1544, 5160, 5161, 5162, 5163 (xptar, ytar, yptar)
! the delta opt column is inherited from th 6.59 GeV optimized matrix
! (hms_newfit_6_59.dat)
! i.e., no delta opt!
! the zeroth order elements:
!  0.000711802209 -5.62031904e-05  0.000584959117               0 00000
! --------------------------------------------
! test fit May 2026:
!
!   0.000680560163 -0.000161495522   0.00060540742               0 00000
 --------------------------------------------

       1512.91621     -2724.08103      541.719501     -11081.6594 03010
       19.4885322     -4.64567886       27.838657     -26.1090659 20110
      -339.387989     -1347.94907      98.6954436      343.660595 11110
       1257.83215      1818.08791      320.024844     -974.052221 02110
       169.654787      -153.63258      13.8652398      -36.510193 10210
       210.571485      802.639788     -208.875866       292.43684 01210
       28.1809598      -98.275145      182.342817     -84.9391998 00310
       18.6675487     -770.704632      29.2259597      406.369321 20020
       615.415489      9914.15491     -2377.82023     -4586.96491 11020
        466.16933      2449.98521     -471.104495      9358.46286 02020
      -614.744511       1256.7337      -83.927297      60.2646297 10120
      -504.334468     -2108.86641      603.322338     -697.205971 01120
      -293.628956      282.225056      -939.70195      726.975013 00220
      -245.665383     -1838.72343      887.398077      536.066295 10030
      -111.091902     -730.965586      244.147071     -2336.48364 01030
      -401.749382     -704.580533      -122.53372     -1667.46714 00130
      -114.157952      -217.13305     -15.7851619      3912.11649 00040
       14.7032892     -3.84745023      1.13733654      4.96781903 50000
      -325.742179      64.4074567     -17.2971841     -214.635508 41000
       2366.08638     -407.071604      80.9944502      3438.51266 32000
      -5178.11401      603.230564     -17.4137525     -27888.4078 23000
      -2754.38801      458.996366     -108.269921      118850.529 14000
      -865.677405       172.48712     -56.7856912       -209797.8 05000
       3.67509731      16.7098172     -5.29587861      3.07907961 40100
      -129.536427     -98.4024093      48.6616502     -71.7570318 31100
       861.994707     -111.216137     -47.3024427      175.230779 22100
      -1136.01557       780.72041     -180.755971      3660.70792 13100
      -568.388193       355.09931     -85.4176172     -18679.7717 04100
       25.6689735     -38.6085555      7.73727023     -9.82929708 30200
      -393.495005      106.823144     -9.72160939      223.223395 21200
       1803.74383      875.012767     -331.457478     -1934.55934 12200
       99.0935876       319.92125     -107.826645      6295.96049 03200
       4.78142352      10.3619458      3.52195294      7.53241271 20300
      -111.242451       172.07317      -241.63536     -173.118732 11300
       326.538991     -1682.20579      1086.79178      1077.44822 02300
       20.6715081      64.6143237     -11.6988233     -1.11240314 10400
      -107.807483     -173.991941      93.2010913     -107.686882 01400
       13.6748191      93.4908592     -64.3172716     -1.36754912 00500
       10.5834688     -97.7045801      30.2623549     -48.5819865 40010
       84.7984252      369.153832     -199.895514      1952.97191 31010
      -16.3865387        190.8673      9.56390659     -20776.5089 22010
      -114.065859       70.126744      8.28325905      79440.7749 13010
      -39.8576629      8.00314531      4.56736439     -71841.5676 04010
      -22.3570799      817.522098     -198.798191      63.7792928 30110
      -296.294007      -4119.3939      854.962709      -1765.8266 21110
       85.0201126     -751.560423      210.873977      11961.6529 12110
      -2.37043822     -102.052347      40.3904223     -36062.5709 03110
      -238.594942     -902.756042      409.221085     -8.69875712 20210
       888.832866      3946.63858      -911.33119      1607.73072 11210
       238.209733      753.625366     -136.955474     -11675.9844 02210
      -343.598275       147.37482     -220.104721      165.982247 10310
       540.908487       1069.9404     -138.476584      946.869731 01310
       68.4419979     -572.444512      596.486181      164.395576 00410
       479.942573     -3010.98284      527.555163     -2407.64911 30020
       93.1720552     -16.9355771      4.98654267      55520.9916 21020
       1.99682439      9.47122508    -0.872526863     -418149.697 12020
      -4.63601975      5.44516989     -1.01121241      1118597.09 03020
       241.540678      3810.60154     -1313.81059       332.50163 20120
       174.543272       1069.8545     -308.758087     -14254.2451 11120
       26.4898522      179.157479     -47.7541378      52657.7588 02120
       356.272788      464.347691     -25.1093694     -3998.95843 10220
       133.367093      150.523431     -7.42856317      25102.1443 01220
      -30.5863431     -812.877442      371.217298      90.2668576 00320
       81.1897833      734.366617     -263.101704        -930.899 20030
       31.6986344      175.917535     -56.2658357      39788.7678 11030
       2.98815692      29.8675152      -9.1256357     -118752.747 02030
       87.4661198      53.6192271      18.9415108      29493.1698 10130
       23.8844411       8.8806634       3.9285495     -259877.198 01130
      -6.88619938     -157.552288      76.5497007      1100.41524 00230
       19.4947522      20.9799268      1.62234359     -13196.6766 10040
       3.97078908      1.30954095     0.740967616      303094.278 01040
      0.825600428     -16.6268293      10.5979171     -17333.4694 00140
      0.514742655    -0.102298767      1.05234065      30963.1531 00050
      -12.5701242      8.30878779     -1.10517297               0 60000
       233.418235     -117.177147      10.8367858               0 51000
      -978.353217       280.07837      7.83734755               0 42000
      -816.337261      500.849153      22.2662591               0 33000
      -324.028587      242.697905     -12.6755155               0 24000
      -98.5204115      76.5588119     -9.44705761               0 15000
      -27.9152259        20.71745     -4.02818046               0 06000
       13.3416585     -41.8854148      5.08485989               0 50100
      -127.427752      418.384925     -22.2082158               0 41100
      -124.738163     -973.393538      101.312636               0 32100
      -139.498811     -138.109308      19.8977364               0 23100
      -53.6356088      14.3224698     -1.91124593               0 14100
      -15.3506882      12.4674175      -2.4579856               0 05100
      -44.8636725      27.2562975    -0.452468505               0 40200
       477.372881      211.074674     -69.6530442               0 31200
